래 lae
알 al
결 gyeol
쓰 sseu
묻 mud
년 nyeon
수 su
걸 geol
해 hae
갑 gap
앞 ap
공 gong
떻 tteot
앉 an
르 leu
향 hyang
하 ha
잡 jap
으 eu
로 lo
술 sul
못 mot
쪽 ssok
루 lu
름 leum
웃 eut
접 jeop
쟁 jaeng
느 neu
굴 gul
모 mo
받 bad
중 jung
화 hwa
국 guk
저 jeo
법 beop
잘 jal
개 jae
역 yeok
프 peu
좀 jom
운 un
쉽 swip
실 sil
건 geon
걷 geot
믿 mit
즘 jeum
더 deu
구 gu
습 seup
편 peon
빠 ppa
크 keu
통 tong
몸 mom
갖 gat
퍼 peo
롭 lop
끼 kki
얻 eot
입 ip
최 choe
황 hwang
곧 got
꼭 kkok
대 dae
맞 mat
먹 meok
넘 neom
말 mal
몇 myeot
존 jon
채 chae
이 i
순 sun
뭐 mwo
위 wi
할 hal
떤 tteun
학 hak
놀 nol
련 lyeon
럼 leom
다 da
뿐 ppun
찾 chat
근 geun
많 man
랑 lang
태 tae
격 gyeok
그 geu
단 dan
렵 lyeop
배 bae
주 ju
꾸 kku
가 ga
육 yuk
슨 seun
않 an
센 sen
적 jeok
글 geul
속 sok
늘 neul
큼 keum
꿈 kkum
니 ni
지 ji
든 deun
풀 pul
들 deul
물 mul
절 jeol
활 hwal
제 je
높 nop
흐 heu
처 cheo
력 lyeok
금 geum
펴 pyeo
얘 ae
어 eo
차 cha
및 mit
람 lam
고 go
신 sin
부 bu
족 jok
밖 bak
행 haeng
전 jeon
돈 don
예 ye
른 leun
작 jak
없 eop
시 si
민 min
직 jik
생 saeng
네 ne
얼 eol
장 jang
커 keo
아 a
보 bo
영 yeong
답 dap
능 neung
정 jeong
살 sal
안 an
놓 not
당 dang
비 bi
피 pi
키 ki
특 teuk
삶 sam
님 nim
듯 deut
리 li
후 hu
무 mu
넣 neot
발 bal
움 um
획 hik
극 geuk
날 nal
밥 bap
낌 kkim
좋 jot
재 jae
소 so
눈 nun
엇 eot
서 seo
혼 hon
마 ma
변 byeon
친 chin
심 sim
송 song
우 u
필 pil
난 nan
씨 ssi
광 gwang
데 de
야 ya
먼 meon
힘 him
환 hwan
욱 uk
렇 leot
표 pyo
손 son
트 teu
것 geot
원 won
왜 wae
과 gwa
책 chaek
거 geo
형 hyeong
퓨 pyu
의 ui
론 lon
선 seon
옆 yeop
문 mun
곳 got
림 lim
간 gan
때 ttae
녀 nyeo
함 ham
히 hi
짓 jit
낳 nat
줄 jul
교 gyo
냥 nyang
내 nae
상 sang
자 ja
께 kke
엄 eom
여 yeo
인 in
열 yeol
애 ae
나 na
유 yu
터 teo
찬 chan
침 chim
미 mi
컴 keom
계 gye
깊 gip
경 gyeong
읽 ik
체 che
품 pum
치 chi
혀 hyeo
현 hyeon
런 heon
만 man
용 yong
젊 jeom
요 yo
한 han
분 bun
식 sik
머 meo
램 laem
음 eum
옷 ot
길 gil
일 il
번 beon
두 tu
누 nu
관 gwa
성 seong
꽃 kkot
밤 bam
싶 sip
료 lo
있 it
라 la
밝 bak
끝 kkeut
동 dong
불 bul
목 mok
양 yang
노 no
명 myeong
도 do
기 gi
올 ol
바 ba
타 ta
을 eul
언 eon
죽 juk
회 hoe
같 gat
남 nam
디 di
너 neo
연 yeon
오 o
각 gak
준 jun
버 beo
조 jo
령 lyeong
업 eop
슴 seum
집 jip
새 sae
려 lyeo
맛 mat
점 jeom
러 leo
세 se
방 bang
즉 jeuk
매 mae
산 san
사 sa
